gene,pval_hr6_vs_0,ratio_hr6_vs_0,pval_day1_vs_0,ratio_day1_vs_0,pval_day3_vs_0,ratio_day3_vs_0,pval_day7_vs_0,ratio_day7_vs_0
ACP1,0.863012,1.01764,0.00196802,0.784473,0.85394,1.01883,0.141533,1.16242
ACP2,0.593266,1.09772,2.36E-14,3.80628,0.00240636,1.73941,0.749191,1.05734
ACP5,0.779251,1.11874,0.000547836,2.95496,0.541205,1.27753,0.618254,1.22097
ACP6,0.66184,1.0399,2.74E-09,0.624783,0.227254,0.897028,0.256384,1.10745
ACPP,0.729954,1.09195,0.756162,1.06018,0.253908,1.33965,0.960451,1.01271
ACPT,0.0978886,0.81755,0.958686,1.00461,0.363851,0.896294,0.56706,0.933468
ACR,0.144854,0.860072,0.0486378,0.859104,0.329509,0.904619,0.137509,0.857607
ACRBP,0.829799,0.963633,0.837877,0.974295,0.228876,1.23217,0.634467,0.921265
ACRC,0.223875,0.927586,0.00450026,0.874644,0.792608,0.983991,0.0849557,1.1132
ACRV1,0.303969,0.95424,0.0330113,1.07571,0.520537,1.02962,0.730739,1.01573
ACSBG1,0.0416036,0.846142,0.936225,0.995263,0.201574,0.901735,0.181139,0.897276
ACSBG2,0.0321634,0.871663,0.413732,0.962745,0.836169,1.01305,0.518978,1.04134
ACSF2,0.393084,1.10438,0.164159,0.886783,0.478974,1.08569,0.622967,0.944573
ACSF3,0.707111,1.02745,0.0522226,0.900154,0.751592,1.02307,0.641285,1.03417
ACSL1,0.214378,1.19147,1.01E-14,3.00274,0.0914005,1.27088,0.60317,1.07562
ACSL3,0.0762899,1.28478,1.25E-06,1.75226,0.0624833,1.30182,0.587211,1.07862
ACSL4,0.679801,1.06045,7.19E-07,1.80136,0.235593,1.18492,0.547099,0.917871
ACSL5,0.148177,1.13595,3.13E-05,1.33981,0.239834,1.10878,0.497165,1.06118
ACSL6,0.853567,1.01866,0.507956,0.952124,0.604031,0.949334,0.206195,1.13605
ACSM1,0.318045,0.908821,0.562147,1.04171,0.462661,1.07269,0.982313,1.00211
ACSM2B,0.842382,1.04594,0.171857,1.25855,0.839372,0.955246,0.161801,1.37573
ACSM3,0.28755,1.11468,6.40E-07,0.655084,0.0756292,0.832625,0.777407,0.971695
ACSM5,0.0892973,0.869566,0.450444,1.04637,0.589177,1.04484,0.298977,0.918804
ACSM6,0.0868755,0.885729,0.1792,0.932465,0.452471,0.948724,0.668126,0.970464
ACSS1,0.704962,1.04453,0.0185073,0.814222,0.748423,0.963775,0.955073,0.993543
ACSS2,0.634925,1.06358,0.020416,1.25606,0.217091,1.17498,0.743595,1.04335
ACSS3,0.0613051,0.878848,0.911362,0.994437,0.764103,0.979837,0.721559,0.976097
ACTA1,0.322571,0.914599,0.106816,0.897324,0.241821,0.899579,0.281537,0.907313
ACTA2,0.837921,1.03263,0.0548678,1.25427,0.417414,1.13617,0.878898,1.0242
ACTB,0.873015,1.06204,0.524649,0.837552,0.827019,1.08579,0.971462,1.01356
ACTC1,0.918324,1.00746,0.953248,0.996869,0.828736,0.984451,0.860091,0.987313
ACTG1,0.712196,1.05204,0.000110663,0.655326,0.769161,0.960452,0.731828,0.953967
ACTG2,0.650899,0.96393,0.783532,1.0166,0.495203,0.946067,0.902731,0.990136
ACTL6A,0.128266,1.1782,0.130411,0.886544,0.592914,0.944522,0.590716,1.0591
ACTL6B,0.0938994,0.870111,0.534441,0.963039,0.477172,0.943288,0.921239,0.991932
ACTL7A,0.0562033,0.767795,0.358257,0.911544,0.230326,0.848564,0.308828,0.870189
ACTL7B,0.818154,1.03655,0.0873478,1.2213,0.472158,1.11909,0.755994,0.95263
ACTL8,0.469634,0.908617,0.66832,1.04276,0.47488,0.909648,0.762892,0.960886
ACTL9,0.0731123,0.781429,0.456908,0.928078,0.869257,0.977943,0.565812,0.925036
ACTN1,0.856085,1.02147,0.00426489,0.773141,0.570696,0.935655,0.405831,0.906944
ACTN2,0.0988397,0.901172,0.687893,0.981696,0.968024,0.997509,0.706634,0.976839
ACTN3,0.0410841,0.850436,0.215421,0.930874,0.456262,0.9436,0.25073,0.914085
ACTN4,0.888245,1.01052,0.406624,1.04684,0.0541862,1.15711,0.517835,1.04942
ACTR10,0.271746,1.1261,0.186551,1.11147,0.985316,1.00198,0.772825,0.969453
ACTR1A,0.207381,1.04634,1.69E-09,1.21059,0.6571,1.01597,0.0973367,0.94185
ACTR1B,0.443632,1.07132,0.0338269,0.866168,0.308503,0.9123,0.580702,0.951602
ACTR2,0.357505,1.10794,0.423892,0.936384,0.677248,1.0473,0.600521,1.0599
ACTR3,0.13694,1.20283,0.011391,1.2673,0.353379,1.12129,0.816235,1.02897
ACTR3B,0.477325,1.07665,8.85E-07,0.653728,0.152935,0.861006,0.639169,0.952505
ACTR3C,0.285734,1.08095,0.383201,1.04799,0.908922,0.991738,0.244846,1.08859
ACTR5,0.97628,1.00227,0.322334,0.945539,0.281889,1.08602,0.11549,1.12916
ACTR6,0.35694,1.31244,0.540075,0.875248,0.908891,1.03421,0.506333,1.21622
ACTR8,0.131314,1.17189,0.312862,1.08098,0.327492,1.10768,0.058471,1.22161
ACTRT1,0.399794,0.926614,0.861567,0.988447,0.548684,1.05569,0.615656,1.04639
ACTRT2,0.387901,0.890739,0.978145,1.00271,0.989219,0.998197,0.721481,1.04878
ACTRT3,0.217393,0.875974,0.481487,1.0571,0.0797579,1.20867,0.86369,0.981869
ACVR1,0.0526793,1.14459,0.000985582,1.19206,0.527874,0.957638,0.758883,1.02124
ACVR1B,0.854751,0.984686,9.09E-09,1.52718,0.0440785,1.18898,0.872886,1.01358
ACVR2A,0.416501,1.16998,0.805881,0.96564,0.853248,0.964996,0.548381,1.12276
ACVR2B,0.18916,1.10083,0.000142383,0.803339,0.872685,1.01169,0.515036,1.04846
ACVRL1,0.183653,0.877048,0.004708,1.23661,0.687893,1.04011,0.64461,0.955834
ACY1,0.307631,0.912849,0.00263603,0.813432,0.436066,0.932891,0.875348,0.986145
ACY3,0.174957,0.895719,0.0828632,0.900695,0.442655,1.06391,0.701315,0.969587
ACYP1,0.438071,0.876975,0.130501,0.826448,0.902113,1.02098,0.633477,1.08391
ACYP2,0.975866,0.997013,2.29E-05,0.713108,0.024058,0.795564,0.48964,0.933821
ADA,0.979683,1.00534,0.0252773,1.42489,0.189845,1.31849,0.892535,1.02866
ADAD1,0.145974,0.788357,0.442111,0.911955,0.128541,0.779709,0.0769958,0.747756
ADAD2,0.106254,0.849345,0.251789,0.91849,0.334285,0.907727,0.597484,0.948592
ADAL,0.478463,1.06845,0.165059,0.90806,0.707789,1.03557,0.275418,1.10763
ADAM10,0.516802,1.10797,0.0523677,1.25904,0.407915,1.14003,0.819613,1.03666
ADAM11,0.0513038,0.855722,0.553485,0.966182,0.604161,0.96008,0.610394,0.960754
ADAM12,0.122304,0.88926,0.288568,0.942547,0.186063,0.904724,0.349654,0.931912
ADAM15,0.878221,0.970588,0.530447,0.913537,0.571087,0.895364,0.866609,0.967803
ADAM17,0.0845909,1.19986,1.20E-08,1.67734,0.158864,1.15966,0.473318,1.07773
ADAM18,0.582213,0.977087,0.784495,0.991536,0.716286,0.984817,0.486759,1.02976
ADAM19,0.793678,1.02514,0.0584882,0.873774,0.033394,0.813526,0.821928,0.978864
ADAM2,0.00518551,0.897618,0.000406087,0.901849,0.0214687,0.915985,0.209011,0.954014
ADAM20,0.0634516,0.867965,0.885391,0.992044,0.294291,0.923944,0.569662,0.958178
ADAM21,0.00133603,0.802595,0.0507589,0.908671,0.851844,0.987903,0.0561216,0.881007
ADAM22,0.378994,1.06161,0.00196404,0.850221,0.108823,0.895898,0.767555,1.02022
ADAM23,0.935491,0.993759,1.97E-05,0.765682,0.026219,0.838497,0.965058,1.00339
ADAM28,0.55217,1.13134,0.120514,0.78631,0.308013,0.808726,0.673833,1.09121
ADAM29,0.533529,0.952676,0.621356,0.972014,0.768484,1.02315,0.0658969,1.1564
ADAM30,0.396154,0.942833,0.639126,1.02426,0.682463,0.972091,0.642751,0.968408
ADAM32,0.628934,1.02374,0.0248815,1.08584,0.160561,1.07113,0.28615,1.05339
ADAM33,0.171895,0.882315,0.544073,0.960054,0.527591,0.944139,0.308867,0.911297
ADAM5,0.0344103,0.902122,0.0493407,0.931944,0.994223,1.00035,0.321757,0.953673
ADAM6,0.368651,1.11906,1.22E-06,0.60486,0.116723,0.82048,0.0572209,1.2728
